snr,   gnn-2,   gnn-3,   gnn-4,   gnn-6,   gnn-8,   gnn-10,
2.000,  6.552381E-02,  6.642857E-02,  6.656349E-02,  6.682540E-02,  6.566667E-02,  6.539683E-02,
2.500,  5.513492E-02,  5.552381E-02,  5.434921E-02,  5.542063E-02,  5.511111E-02,  5.542857E-02,
3.000,  4.567460E-02,  4.550794E-02,  4.515873E-02,  4.530952E-02,  4.627778E-02,  4.592857E-02,
3.500,  3.646032E-02,  3.657143E-02,  3.640476E-02,  3.739683E-02,  3.685714E-02,  3.759524E-02,
4.000,  2.939683E-02,  2.891270E-02,  2.942857E-02,  2.825397E-02,  2.800794E-02,  2.888095E-02,
4.500,  2.196032E-02,  2.279365E-02,  2.228571E-02,  2.288889E-02,  2.253968E-02,  2.269048E-02,
